Year,Quarter,Period of coverage,Breakdown,Level,Employment rate of people with mental illness,Employment rate of population ,Indicator value,Mental illness numerator,Mental illness denominator,Population numerator,Population denominator
2011,2,1/4/2011 to 30/6/2011,Age,45 to 49 ,34.0%,82.0%,48.0%,"94,300","277,000","3,151,600","3,842,800"
2011,2,1/4/2011 to 30/6/2011,Age,50 to 54 ,29.4%,79.7%,50.3%,"79,800","271,800","2,687,600","3,372,300"
2011,2,1/4/2011 to 30/6/2011,Age,55 to 59 ,25.3%,70.3%,44.9%,"62,600","247,100","2,073,400","2,951,600"
2011,2,1/4/2011 to 30/6/2011,Age,60 to 64 ,14.2%,45.2%,31.0%,"33,100","233,300","1,401,600","3,100,400"
2011,1,1/1/2011 to 31/3/2011,Age,16 to 19 ,17.5%,33.5%,16.0%,"21,300","121,500","856,700","2,558,700"
2011,1,1/1/2011 to 31/3/2011,Age,20 to 24 ,31.8%,61.4%,29.6%,"49,200","154,900","2,190,500","3,570,300"
2011,1,1/1/2011 to 31/3/2011,Age,25 to 29 ,34.2%,78.0%,43.8%,"50,600","147,800","2,845,400","3,645,900"
2011,1,1/1/2011 to 31/3/2011,Age,30 to 34 ,34.2%,79.7%,45.5%,"49,800","145,600","2,656,100","3,333,900"
2011,1,1/1/2011 to 31/3/2011,Age,35 to 39 ,30.5%,80.1%,49.5%,"60,400","197,900","2,778,500","3,470,900"
2011,1,1/1/2011 to 31/3/2011,Age,40 to 44 ,31.1%,81.6%,50.5%,"76,100","244,200","3,148,500","3,858,700"
2011,1,1/1/2011 to 31/3/2011,Age,45 to 49 ,34.8%,82.0%,47.2%,"88,300","254,000","3,138,500","3,828,300"
2011,1,1/1/2011 to 31/3/2011,Age,50 to 54 ,29.6%,79.8%,50.3%,"78,900","266,900","2,672,900","3,348,900"
2011,1,1/1/2011 to 31/3/2011,Age,55 to 59 ,22.9%,70.9%,48.0%,"56,800","248,000","2,091,600","2,948,600"
2011,1,1/1/2011 to 31/3/2011,Age,60 to 64 ,13.4%,45.2%,31.8%,"28,500","213,100","1,400,800","3,101,700"
2010,4,1/10/2010 to 31/12/2010,Age,16 to 19 ,19.7%,35.5%,15.8%,"24,400","123,800","913,100","2,572,400"
2010,4,1/10/2010 to 31/12/2010,Age,20 to 24 ,27.9%,63.0%,35.0%,"41,600","148,700","2,241,400","3,560,700"
2010,4,1/10/2010 to 31/12/2010,Age,25 to 29 ,36.3%,78.6%,42.3%,"55,000","151,800","2,847,500","3,624,500"
2010,4,1/10/2010 to 31/12/2010,Age,30 to 34 ,33.4%,80.0%,46.7%,"50,400","151,000","2,652,500","3,314,800"
2010,4,1/10/2010 to 31/12/2010,Age,35 to 39 ,32.0%,79.3%,47.3%,"64,300","201,000","2,775,000","3,498,900"
2010,4,1/10/2010 to 31/12/2010,Age,40 to 44 ,31.6%,81.2%,49.6%,"74,100","234,600","3,140,500","3,867,600"
2010,4,1/10/2010 to 31/12/2010,Age,45 to 49 ,38.0%,82.5%,44.5%,"92,500","243,700","3,146,100","3,813,900"
2010,4,1/10/2010 to 31/12/2010,Age,50 to 54 ,28.8%,79.6%,50.8%,"74,500","258,700","2,646,700","3,325,300"
2010,4,1/10/2010 to 31/12/2010,Age,55 to 59 ,23.2%,71.1%,48.0%,"54,800","236,500","2,095,300","2,945,500"
2010,4,1/10/2010 to 31/12/2010,Age,60 to 64 ,12.7%,45.2%,32.5%,"24,100","189,900","1,402,800","3,103,100"
2010,3,1/7/2010 to 30/9/2010,Age,16 to 19 ,20.9%,37.6%,16.6%,"24,600","117,500","971,400","2,585,900"
2010,3,1/7/2010 to 30/9/2010,Age,20 to 24 ,33.0%,66.1%,33.1%,"51,500","156,000","2,346,900","3,551,000"
2010,3,1/7/2010 to 30/9/2010,Age,25 to 29 ,34.8%,77.6%,42.8%,"51,400","147,400","2,795,700","3,603,100"
2010,3,1/7/2010 to 30/9/2010,Age,30 to 34 ,33.4%,79.7%,46.2%,"48,300","144,500","2,625,200","3,295,600"
2010,3,1/7/2010 to 30/9/2010,Age,35 to 39 ,31.3%,78.8%,47.5%,"62,700","199,900","2,780,600","3,526,900"
2010,3,1/7/2010 to 30/9/2010,Age,40 to 44 ,35.1%,81.0%,45.9%,"84,500","241,000","3,138,500","3,876,300"
2010,3,1/7/2010 to 30/9/2010,Age,45 to 49 ,35.5%,83.0%,47.6%,"91,000","256,600","3,154,700","3,799,300"
2010,3,1/7/2010 to 30/9/2010,Age,50 to 54 ,30.4%,80.2%,49.8%,"75,300","247,900","2,646,200","3,301,700"
2010,3,1/7/2010 to 30/9/2010,Age,55 to 59 ,27.3%,71.9%,44.6%,"64,000","234,800","2,115,100","2,942,400"
2010,3,1/7/2010 to 30/9/2010,Age,60 to 64 ,11.9%,45.5%,33.6%,"24,300","204,000","1,411,600","3,104,200"
2010,2,1/4/2010 to 30/6/2010,Age,16 to 19 ,20.6%,35.8%,15.2%,"23,100","112,200","930,000","2,598,300"
2010,2,1/4/2010 to 30/6/2010,Age,20 to 24 ,31.0%,61.9%,30.9%,"55,800","180,000","2,189,100","3,538,900"
2010,2,1/4/2010 to 30/6/2010,Age,25 to 29 ,36.3%,77.6%,41.3%,"53,300","146,900","2,776,800","3,578,700"
2010,2,1/4/2010 to 30/6/2010,Age,30 to 34 ,35.3%,79.1%,43.8%,"52,000","147,500","2,593,100","3,279,200"
2010,2,1/4/2010 to 30/6/2010,Age,35 to 39 ,27.9%,79.1%,51.2%,"58,100","208,400","2,811,100","3,552,900"
2010,2,1/4/2010 to 30/6/2010,Age,40 to 44 ,36.2%,81.4%,45.2%,"86,300","238,600","3,162,700","3,886,200"
2010,2,1/4/2010 to 30/6/2010,Age,45 to 49 ,34.2%,82.5%,48.3%,"88,000","257,600","3,120,100","3,782,900"
2010,2,1/4/2010 to 30/6/2010,Age,50 to 54 ,32.7%,80.0%,47.3%,"82,400","252,200","2,623,200","3,280,000"
2010,2,1/4/2010 to 30/6/2010,Age,55 to 59 ,26.9%,71.2%,44.3%,"61,300","228,000","2,095,500","2,942,700"
2010,2,1/4/2010 to 30/6/2010,Age,60 to 64 ,14.1%,44.8%,30.6%,"30,500","215,600","1,388,900","3,103,800"
2010,1,1/1/2010 to 31/3/2010,Age,16 to 19 ,20.5%,35.4%,14.9%,"22,100","107,800","922,500","2,608,000"
2010,1,1/1/2010 to 31/3/2010,Age,20 to 24 ,31.8%,60.7%,28.9%,"59,200","185,900","2,138,200","3,521,600"
2010,1,1/1/2010 to 31/3/2010,Age,25 to 29 ,38.2%,76.2%,38.0%,"56,300","147,400","2,705,300","3,548,400"
2010,1,1/1/2010 to 31/3/2010,Age,30 to 34 ,36.0%,78.9%,42.9%,"54,900","152,800","2,578,200","3,267,700"
2010,1,1/1/2010 to 31/3/2010,Age,35 to 39 ,29.2%,79.0%,49.8%,"54,800","187,700","2,825,300","3,575,200"
2010,1,1/1/2010 to 31/3/2010,Age,40 to 44 ,35.0%,81.7%,46.6%,"80,500","229,700","3,184,300","3,898,800"
2010,1,1/1/2010 to 31/3/2010,Age,45 to 49 ,32.4%,82.2%,49.8%,"78,600","242,200","3,092,400","3,761,800"
2010,1,1/1/2010 to 31/3/2010,Age,50 to 54 ,30.8%,79.8%,49.0%,"71,600","232,300","2,604,000","3,261,600"
2010,1,1/1/2010 to 31/3/2010,Age,55 to 59 ,31.3%,72.0%,40.7%,"70,300","224,900","2,122,600","2,949,800"
2010,1,1/1/2010 to 31/3/2010,Age,60 to 64 ,13.3%,45.1%,31.8%,"25,500","192,300","1,397,100","3,099,800"
2009,4,1/10/2009 to 31/12/2009,Age,16 to 19 ,20.2%,37.3%,17.1%,"19,400","95,800","977,100","2,617,600"
2009,4,1/10/2009 to 31/12/2009,Age,20 to 24 ,30.1%,63.0%,32.9%,"51,600","171,600","2,206,200","3,504,500"
2009,4,1/10/2009 to 31/12/2009,Age,25 to 29 ,36.8%,77.4%,40.6%,"48,500","131,700","2,722,300","3,517,700"
2009,4,1/10/2009 to 31/12/2009,Age,30 to 34 ,30.9%,79.3%,48.5%,"47,200","152,900","2,582,500","3,256,100"
2009,4,1/10/2009 to 31/12/2009,Age,35 to 39 ,24.7%,79.8%,55.1%,"39,900","161,600","2,872,300","3,597,400"
2009,4,1/10/2009 to 31/12/2009,Age,40 to 44 ,33.0%,82.5%,49.4%,"71,700","217,100","3,224,500","3,911,000"
2009,4,1/10/2009 to 31/12/2009,Age,45 to 49 ,29.5%,82.3%,52.8%,"69,700","236,200","3,077,900","3,741,000"
2009,4,1/10/2009 to 31/12/2009,Age,50 to 54 ,29.1%,80.3%,51.2%,"62,300","214,400","2,603,300","3,243,400"
2009,4,1/10/2009 to 31/12/2009,Age,55 to 59 ,29.7%,71.1%,41.4%,"62,700","210,900","2,102,600","2,957,300"
2009,4,1/10/2009 to 31/12/2009,Age,60 to 64 ,14.5%,45.1%,30.6%,"27,000","185,800","1,397,300","3,095,800"
2009,3,1/7/2009 to 30/9/2009,Age,16 to 19 ,23.8%,39.0%,15.2%,"23,600","99,200","1,023,300","2,627,200"
2009,3,1/7/2009 to 30/9/2009,Age,20 to 24 ,30.1%,64.2%,34.0%,"51,800","171,900","2,237,100","3,487,300"
2009,3,1/7/2009 to 30/9/2009,Age,25 to 29 ,32.0%,77.6%,45.7%,"42,600","133,200","2,707,100","3,487,300"
2009,3,1/7/2009 to 30/9/2009,Age,30 to 34 ,33.6%,78.2%,44.6%,"51,200","152,500","2,538,600","3,244,600"
2009,3,1/7/2009 to 30/9/2009,Age,35 to 39 ,32.8%,80.3%,47.6%,"53,300","162,900","2,907,300","3,619,300"
2009,3,1/7/2009 to 30/9/2009,Age,40 to 44 ,30.1%,81.3%,51.2%,"65,400","217,300","3,189,900","3,923,300"
2009,3,1/7/2009 to 30/9/2009,Age,45 to 49 ,28.1%,82.6%,54.5%,"63,900","227,400","3,073,500","3,719,900"
2009,3,1/7/2009 to 30/9/2009,Age,50 to 54 ,25.4%,79.8%,54.4%,"54,800","215,800","2,572,100","3,225,200"
2009,3,1/7/2009 to 30/9/2009,Age,55 to 59 ,24.8%,70.9%,46.1%,"50,400","203,400","2,100,700","2,964,800"
2009,3,1/7/2009 to 30/9/2009,Age,60 to 64 ,15.4%,45.9%,30.4%,"27,500","178,300","1,417,600","3,091,700"
2009,2,1/4/2009 to 30/6/2009,Age,16 to 19 ,18.8%,37.7%,18.9%,"20,600","109,900","991,900","2,634,700"
2009,2,1/4/2009 to 30/6/2009,Age,20 to 24 ,35.0%,62.6%,27.6%,"53,300","152,200","2,176,200","3,474,600"
2009,2,1/4/2009 to 30/6/2009,Age,25 to 29 ,30.9%,76.9%,46.0%,"45,500","147,200","2,661,800","3,462,000"
2009,2,1/4/2009 to 30/6/2009,Age,30 to 34 ,25.4%,78.2%,52.9%,"36,800","145,300","2,531,800","3,236,600"
2009,2,1/4/2009 to 30/6/2009,Age,35 to 39 ,31.2%,80.2%,49.0%,"52,500","168,000","2,921,200","3,642,500"
2009,2,1/4/2009 to 30/6/2009,Age,40 to 44 ,30.7%,81.5%,50.8%,"61,800","201,300","3,205,500","3,932,100"
2009,2,1/4/2009 to 30/6/2009,Age,45 to 49 ,31.6%,82.7%,51.1%,"70,000","221,400","3,058,000","3,698,200"
2009,2,1/4/2009 to 30/6/2009,Age,50 to 54 ,29.0%,79.9%,50.9%,"59,400","204,900","2,562,000","3,207,500"
2009,2,1/4/2009 to 30/6/2009,Age,55 to 59 ,24.5%,71.3%,46.8%,"48,200","196,600","2,120,200","2,972,500"
2009,2,1/4/2009 to 30/6/2009,Age,60 to 64 ,17.8%,45.5%,27.7%,"31,200","175,300","1,403,900","3,083,600"
2009,1,1/1/2009 to 31/3/2009,Age,16 to 19 ,20.1%,40.2%,20.1%,"22,800","113,300","1,059,100","2,637,700"
2009,1,1/1/2009 to 31/3/2009,Age,20 to 24 ,37.5%,63.0%,25.5%,"54,700","145,800","2,186,400","3,471,000"
2009,1,1/1/2009 to 31/3/2009,Age,25 to 29 ,34.2%,78.5%,44.3%,"51,600","150,800","2,706,500","3,446,500"
2009,1,1/1/2009 to 31/3/2009,Age,30 to 34 ,29.2%,79.9%,50.8%,"37,600","128,900","2,585,700","3,235,400"
2009,1,1/1/2009 to 31/3/2009,Age,35 to 39 ,32.6%,80.9%,48.3%,"60,300","185,300","2,965,500","3,666,900"
2009,1,1/1/2009 to 31/3/2009,Age,40 to 44 ,29.5%,82.5%,53.0%,"52,900","179,300","3,246,400","3,933,300"
2009,1,1/1/2009 to 31/3/2009,Age,45 to 49 ,30.4%,82.6%,52.1%,"66,700","219,100","3,033,500","3,674,400"
2009,1,1/1/2009 to 31/3/2009,Age,50 to 54 ,30.5%,80.0%,49.5%,"59,200","194,300","2,551,800","3,191,000"
2009,1,1/1/2009 to 31/3/2009,Age,55 to 59 ,22.3%,71.2%,48.8%,"45,800","204,900","2,121,300","2,980,700"
2009,1,1/1/2009 to 31/3/2009,Age,60 to 64 ,19.0%,46.3%,27.2%,"31,500","165,700","1,418,600","3,067,400"
2008,4,1/10/2008 to 31/12/2008,Age,16 to 19 ,20.8%,43.1%,22.3%,"20,300","97,800","1,138,100","2,640,700"
2008,4,1/10/2008 to 31/12/2008,Age,20 to 24 ,38.2%,67.0%,28.8%,"49,600","129,900","2,323,500","3,467,400"
2008,4,1/10/2008 to 31/12/2008,Age,25 to 29 ,35.7%,79.1%,43.5%,"53,600","150,400","2,714,400","3,431,200"
2008,4,1/10/2008 to 31/12/2008,Age,30 to 34 ,31.1%,81.0%,49.9%,"37,300","119,800","2,621,000","3,234,300"
2008,4,1/10/2008 to 31/12/2008,Age,35 to 39 ,30.3%,81.3%,51.0%,"53,300","176,100","2,999,800","3,691,300"
2008,4,1/10/2008 to 31/12/2008,Age,40 to 44 ,25.4%,82.2%,56.8%,"49,600","195,300","3,235,700","3,934,900"
2008,4,1/10/2008 to 31/12/2008,Age,45 to 49 ,28.4%,83.3%,54.8%,"56,800","199,800","3,039,300","3,650,700"
2008,4,1/10/2008 to 31/12/2008,Age,50 to 54 ,27.8%,80.1%,52.3%,"53,100","190,600","2,544,000","3,174,600"
2008,4,1/10/2008 to 31/12/2008,Age,55 to 59 ,23.0%,71.0%,48.0%,"48,800","212,200","2,122,800","2,989,300"
2008,4,1/10/2008 to 31/12/2008,Age,60 to 64 ,16.9%,46.6%,29.7%,"26,900","159,400","1,422,700","3,051,200"
2008,3,1/7/2008 to 30/9/2008,Age,16 to 19 ,23.9%,45.1%,21.2%,"20,600","86,200","1,191,300","2,643,600"
2008,3,1/7/2008 to 30/9/2008,Age,20 to 24 ,37.9%,68.5%,30.6%,"55,600","146,600","2,372,900","3,463,800"
2008,3,1/7/2008 to 30/9/2008,Age,25 to 29 ,35.4%,79.6%,44.1%,"53,000","149,600","2,717,100","3,415,700"
2008,3,1/7/2008 to 30/9/2008,Age,30 to 34 ,31.2%,80.4%,49.2%,"38,600","123,800","2,598,400","3,233,200"
2008,3,1/7/2008 to 30/9/2008,Age,35 to 39 ,27.0%,80.8%,53.8%,"46,600","172,800","3,001,000","3,715,800"
2008,3,1/7/2008 to 30/9/2008,Age,40 to 44 ,29.8%,82.8%,53.0%,"61,200","205,400","3,258,200","3,936,400"
2008,3,1/7/2008 to 30/9/2008,Age,45 to 49 ,30.4%,83.4%,53.0%,"64,600","212,400","3,023,700","3,626,800"
2008,3,1/7/2008 to 30/9/2008,Age,50 to 54 ,27.0%,80.3%,53.3%,"59,200","219,400","2,535,100","3,157,900"
2008,3,1/7/2008 to 30/9/2008,Age,55 to 59 ,24.2%,70.7%,46.5%,"51,300","212,400","2,119,500","2,997,500"
2008,3,1/7/2008 to 30/9/2008,Age,60 to 64 ,16.6%,46.4%,29.8%,"26,100","157,000","1,409,500","3,034,800"
2008,2,1/4/2008 to 30/6/2008,Age,16 to 19 ,25.3%,43.0%,17.6%,"22,900","90,300","1,136,800","2,645,900"
2008,2,1/4/2008 to 30/6/2008,Age,20 to 24 ,37.9%,66.3%,28.4%,"53,800","141,900","2,292,400","3,455,400"
2008,2,1/4/2008 to 30/6/2008,Age,25 to 29 ,38.8%,80.5%,41.7%,"56,700","146,100","2,735,200","3,398,200"
2008,2,1/4/2008 to 30/6/2008,Age,30 to 34 ,32.0%,80.8%,48.9%,"39,300","123,000","2,616,600","3,236,900"
2008,2,1/4/2008 to 30/6/2008,Age,35 to 39 ,29.2%,81.1%,51.8%,"51,200","175,200","3,029,700","3,738,200"
2008,2,1/4/2008 to 30/6/2008,Age,40 to 44 ,27.2%,82.6%,55.4%,"55,100","202,200","3,251,200","3,937,100"
2008,2,1/4/2008 to 30/6/2008,Age,45 to 49 ,25.3%,83.5%,58.1%,"51,100","201,800","3,007,900","3,603,600"
2008,2,1/4/2008 to 30/6/2008,Age,50 to 54 ,29.1%,80.5%,51.5%,"61,600","211,900","2,528,800","3,141,400"
2008,2,1/4/2008 to 30/6/2008,Age,55 to 59 ,22.9%,71.0%,48.1%,"49,200","215,200","2,138,900","3,011,600"
2008,2,1/4/2008 to 30/6/2008,Age,60 to 64 ,15.0%,46.9%,32.0%,"24,400","163,200","1,414,000","3,012,700"
2008,1,1/1/2008 to 31/3/2008,Age,16 to 19 ,30.8%,44.0%,13.2%,"29,500","95,800","1,164,700","2,646,800"
2008,1,1/1/2008 to 31/3/2008,Age,20 to 24 ,34.8%,66.9%,32.1%,"44,400","127,400","2,299,800","3,437,300"
2008,1,1/1/2008 to 31/3/2008,Age,25 to 29 ,35.7%,80.2%,44.6%,"48,300","135,300","2,709,000","3,376,700"
2008,1,1/1/2008 to 31/3/2008,Age,30 to 34 ,34.6%,80.9%,46.3%,"42,600","123,200","2,628,700","3,250,400"
2008,1,1/1/2008 to 31/3/2008,Age,35 to 39 ,25.8%,80.7%,54.9%,"47,500","184,200","3,031,800","3,756,500"
2008,1,1/1/2008 to 31/3/2008,Age,40 to 44 ,32.9%,83.0%,50.2%,"65,700","199,900","3,269,000","3,937,300"
2008,1,1/1/2008 to 31/3/2008,Age,45 to 49 ,27.5%,83.4%,55.9%,"62,000","225,500","2,986,600","3,581,600"
2008,1,1/1/2008 to 31/3/2008,Age,50 to 54 ,30.3%,81.0%,50.6%,"60,400","199,100","2,529,200","3,124,500"
2008,1,1/1/2008 to 31/3/2008,Age,55 to 59 ,21.4%,70.9%,49.5%,"48,600","227,600","2,152,700","3,037,000"
2008,1,1/1/2008 to 31/3/2008,Age,60 to 64 ,15.2%,46.8%,31.6%,"26,900","177,400","1,393,300","2,979,200"
2007,4,1/10/2007 to 31/12/2007,Age,16 to 19 ,27.9%,45.6%,17.7%,"26,100","93,500","1,207,200","2,647,700"
2007,4,1/10/2007 to 31/12/2007,Age,20 to 24 ,34.8%,69.3%,34.5%,"41,000","117,900","2,368,600","3,419,200"
2007,4,1/10/2007 to 31/12/2007,Age,25 to 29 ,33.6%,79.9%,46.3%,"45,400","135,200","2,679,000","3,354,900"
2007,4,1/10/2007 to 31/12/2007,Age,30 to 34 ,35.1%,81.1%,46.0%,"42,200","120,100","2,647,900","3,263,800"
2007,4,1/10/2007 to 31/12/2007,Age,35 to 39 ,28.2%,81.0%,52.8%,"50,600","179,400","3,058,500","3,775,000"
2007,4,1/10/2007 to 31/12/2007,Age,40 to 44 ,32.3%,83.0%,50.8%,"70,400","218,200","3,268,900","3,937,300"
2007,4,1/10/2007 to 31/12/2007,Age,45 to 49 ,28.7%,83.4%,54.7%,"58,200","202,900","2,968,100","3,559,800"
2007,4,1/10/2007 to 31/12/2007,Age,50 to 54 ,28.0%,80.8%,52.8%,"59,400","212,500","2,509,800","3,107,600"
2007,4,1/10/2007 to 31/12/2007,Age,55 to 59 ,20.0%,70.9%,50.9%,"44,600","223,300","2,170,400","3,062,500"
2007,4,1/10/2007 to 31/12/2007,Age,60 to 64 ,12.4%,46.5%,34.1%,"21,300","171,600","1,369,000","2,945,600"
2007,3,1/7/2007 to 30/9/2007,Age,16 to 19 ,27.6%,45.5%,18.0%,"28,600","104,000","1,205,200","2,648,600"
2007,3,1/7/2007 to 30/9/2007,Age,20 to 24 ,35.2%,70.1%,34.9%,"46,100","131,000","2,382,500","3,401,300"
2007,3,1/7/2007 to 30/9/2007,Age,25 to 29 ,34.1%,80.2%,46.1%,"45,700","133,900","2,674,300","3,333,100"
2007,3,1/7/2007 to 30/9/2007,Age,30 to 34 ,29.5%,80.4%,50.9%,"35,500","120,200","2,634,900","3,277,500"
2007,3,1/7/2007 to 30/9/2007,Age,35 to 39 ,29.6%,80.8%,51.2%,"50,400","170,300","3,064,700","3,793,000"
2007,3,1/7/2007 to 30/9/2007,Age,40 to 44 ,30.3%,83.4%,53.1%,"64,900","214,400","3,283,100","3,937,500"
2007,3,1/7/2007 to 30/9/2007,Age,45 to 49 ,26.3%,82.6%,56.3%,"53,000","202,000","2,921,400","3,538,000"
2007,3,1/7/2007 to 30/9/2007,Age,50 to 54 ,34.4%,80.5%,46.1%,"67,600","196,500","2,488,200","3,090,600"
2007,3,1/7/2007 to 30/9/2007,Age,55 to 59 ,20.6%,69.9%,49.3%,"46,600","226,200","2,156,700","3,087,900"
2007,3,1/7/2007 to 30/9/2007,Age,60 to 64 ,10.4%,45.4%,35.1%,"15,600","150,900","1,322,800","2,912,000"
2007,2,1/4/2007 to 30/6/2007,Age,16 to 19 ,27.1%,41.9%,14.7%,"28,700","105,700","1,108,000","2,646,700"
2007,2,1/4/2007 to 30/6/2007,Age,20 to 24 ,27.4%,67.4%,40.0%,"36,100","131,700","2,278,400","3,381,400"
2007,2,1/4/2007 to 30/6/2007,Age,25 to 29 ,37.4%,79.7%,42.3%,"50,000","133,900","2,639,300","3,311,500"
2007,2,1/4/2007 to 30/6/2007,Age,30 to 34 ,32.2%,80.4%,48.2%,"39,400","122,500","2,650,600","3,296,400"
2007,2,1/4/2007 to 30/6/2007,Age,35 to 39 ,25.7%,80.9%,55.2%,"42,200","164,200","3,081,200","3,809,500"
2007,2,1/4/2007 to 30/6/2007,Age,40 to 44 ,29.3%,83.0%,53.7%,"58,400","199,200","3,264,700","3,933,500"
2007,2,1/4/2007 to 30/6/2007,Age,45 to 49 ,27.7%,82.4%,54.7%,"54,500","196,500","2,898,300","3,516,400"
2007,2,1/4/2007 to 30/6/2007,Age,50 to 54 ,32.5%,80.7%,48.2%,"63,200","194,400","2,481,000","3,076,400"
2007,2,1/4/2007 to 30/6/2007,Age,55 to 59 ,19.2%,69.7%,50.4%,"43,600","226,800","2,171,000","3,116,400"
2007,2,1/4/2007 to 30/6/2007,Age,60 to 64 ,12.0%,45.4%,33.4%,"18,500","154,100","1,303,400","2,872,200"
2007,1,1/1/2007 to 31/3/2007,Age,16 to 19 ,26.4%,42.5%,16.1%,"27,100","102,900","1,120,900","2,639,200"
2007,1,1/1/2007 to 31/3/2007,Age,20 to 24 ,31.6%,67.8%,36.2%,"40,600","128,700","2,275,100","3,358,100"
2007,1,1/1/2007 to 31/3/2007,Age,25 to 29 ,33.1%,79.5%,46.4%,"41,800","126,300","2,615,900","3,289,200"
2007,1,1/1/2007 to 31/3/2007,Age,30 to 34 ,30.0%,79.8%,49.8%,"40,500","135,100","2,655,200","3,326,300"
2007,1,1/1/2007 to 31/3/2007,Age,35 to 39 ,25.2%,80.3%,55.2%,"40,400","160,300","3,070,500","3,822,100"
2007,1,1/1/2007 to 31/3/2007,Age,40 to 44 ,30.3%,83.4%,53.1%,"53,700","177,300","3,269,900","3,921,700"
2007,1,1/1/2007 to 31/3/2007,Age,45 to 49 ,26.6%,82.3%,55.7%,"51,700","194,600","2,875,300","3,495,500"
2007,1,1/1/2007 to 31/3/2007,Age,50 to 54 ,31.0%,80.1%,49.1%,"59,800","193,000","2,456,300","3,067,400"
2007,1,1/1/2007 to 31/3/2007,Age,55 to 59 ,22.5%,69.7%,47.2%,"47,900","213,000","2,195,000","3,150,900"
2007,1,1/1/2007 to 31/3/2007,Age,60 to 64 ,12.5%,44.5%,32.0%,"20,100","160,700","1,254,000","2,820,200"
2006,4,1/10/2006 to 31/12/2006,Age,16 to 19 ,27.2%,46.7%,19.5%,"22,900","84,300","1,228,500","2,631,800"
2006,4,1/10/2006 to 31/12/2006,Age,20 to 24 ,29.4%,69.2%,39.8%,"40,600","138,200","2,309,000","3,334,800"
2006,4,1/10/2006 to 31/12/2006,Age,25 to 29 ,33.3%,79.8%,46.5%,"38,700","116,200","2,605,800","3,266,900"
2006,4,1/10/2006 to 31/12/2006,Age,30 to 34 ,30.8%,80.0%,49.2%,"40,000","129,800","2,684,800","3,356,000"
2006,4,1/10/2006 to 31/12/2006,Age,35 to 39 ,30.0%,80.8%,50.8%,"46,400","154,800","3,098,100","3,834,400"
2006,4,1/10/2006 to 31/12/2006,Age,40 to 44 ,30.1%,83.4%,53.3%,"50,900","169,000","3,260,500","3,909,900"
2006,4,1/10/2006 to 31/12/2006,Age,45 to 49 ,30.1%,82.9%,52.8%,"56,400","187,200","2,880,500","3,474,500"
2006,4,1/10/2006 to 31/12/2006,Age,50 to 54 ,27.7%,79.7%,52.0%,"53,900","194,400","2,437,900","3,058,300"
2006,4,1/10/2006 to 31/12/2006,Age,55 to 59 ,20.7%,69.9%,49.2%,"42,400","205,000","2,225,800","3,185,200"
2006,4,1/10/2006 to 31/12/2006,Age,60 to 64 ,13.3%,44.7%,31.4%,"20,600","154,500","1,237,100","2,768,400"
2006,3,1/7/2006 to 30/9/2006,Age,16 to 19 ,22.6%,46.7%,24.1%,"20,900","92,100","1,225,100","2,623,800"
2006,3,1/7/2006 to 30/9/2006,Age,20 to 24 ,36.2%,71.0%,34.9%,"45,300","125,400","2,351,200","3,311,700"
2006,3,1/7/2006 to 30/9/2006,Age,25 to 29 ,30.9%,79.7%,48.9%,"33,500","108,600","2,587,300","3,244,800"
2006,3,1/7/2006 to 30/9/2006,Age,30 to 34 ,27.4%,79.9%,52.5%,"35,600","130,100","2,705,300","3,386,000"
2006,3,1/7/2006 to 30/9/2006,Age,35 to 39 ,34.5%,80.9%,46.5%,"53,700","156,000","3,113,600","3,846,700"
2006,3,1/7/2006 to 30/9/2006,Age,40 to 44 ,35.4%,83.1%,47.7%,"60,800","172,000","3,237,300","3,897,900"
2006,3,1/7/2006 to 30/9/2006,Age,45 to 49 ,34.3%,83.5%,49.2%,"59,000","172,000","2,883,200","3,453,000"
2006,3,1/7/2006 to 30/9/2006,Age,50 to 54 ,24.9%,79.6%,54.7%,"47,600","191,300","2,426,400","3,049,700"
2006,3,1/7/2006 to 30/9/2006,Age,55 to 59 ,24.5%,70.3%,45.8%,"48,400","197,400","2,262,700","3,219,800"
2006,3,1/7/2006 to 30/9/2006,Age,60 to 64 ,14.1%,44.4%,30.3%,"21,600","153,600","1,205,400","2,716,400"
2014,1,1/1/2014 to 31/3/2014,Ethnicity,Arab,*,42.7%,*,*,*,"66,000","154,600"
2014,1,1/1/2014 to 31/3/2014,Ethnicity,Asian/Asian British,16.5%,61.8%,45.3%,"16,600","100,500","1,543,200","2,498,200"
2014,1,1/1/2014 to 31/3/2014,Ethnicity,Black/African/Caribbean/Black British,25.6%,60.7%,35.1%,"11,400","44,600","646,600","1,065,100"
2014,1,1/1/2014 to 31/3/2014,Ethnicity,Chinese,*,57.7%,*,*,*,"118,400","205,100"
2014,1,1/1/2014 to 31/3/2014,Ethnicity,Mixed/Multiple ethnic groups,31.2%,66.9%,35.7%,"13,600","43,600","305,800","456,800"
2014,1,1/1/2014 to 31/3/2014,Ethnicity,Other,*,61.4%,*,*,"26,700","316,200","514,700"
2014,1,1/1/2014 to 31/3/2014,Ethnicity,White,37.6%,74.6%,37.0%,"869,400","2,313,500","21,632,000","28,985,800"
2013,4,1/10/2013 to 31/12/2013,Ethnicity,Arab,*,41.8%,*,*,*,"63,700","152,200"
